comment,ownerFullName,ownerUsername,url,commentsCount,firstComment,likesCount,time,queryTag,hashtags/0,hashtags/1,hashtags/2,hashtags/3,hashtags/4,hashtags/5,hashtags/6,hashtags/7,hashtags/8,hashtags/9,hashtags/10,hashtags/11,hashtags/12,,type
"Commercial LPG prices have surged across India, with rates reportedly reaching around ₹993, increasing pressure on restaurants and small businesses. Rising fuel costs are expected to impact operations and consumer prices nationwide.

Follow us to stay informed and updated❗
.
.
#IndiaNews #Viral #Trending #LPGPriceHike #BusinessNews",Research In and Out,researchinandout,https://www.instagram.com/p/DXymBkSD1OV/,2,❤️Story dekho❤️,-1,2026-05-01T09:11:05.000Z,,IndiaNews,Viral,Trending,LPGPriceHike,BusinessNews,,,,,,,,,,Instagram
"This is just a trailer😳
 #LPGPriceHike",★Indian,_we_the_people_of_india,https://www.instagram.com/p/DXyj5pFDAQU/,0,,29,2026-05-01T08:52:32.000Z,,LPGPriceHike,,,,,,,,,,,,,,Instagram
"LPG Price Hike: Modi 😂 Roasts Trump & Khamenei #treanding #politicalhumor #viralshorts

In this hilarious episode of political satire, Narendra Modi is seen roasting Donald Trump and Ali Khamenei over the recent LPG price hike, leaving the audience in stitches. The epic roast is a must-watch for fans of stand-up comedy and political humor. With the Iran Israel conflict and global politics making headlines, this video provides a much-needed break from the serious news. Modi's comedy skills are on full display as he takes on Trump and Khamenei, making it a viral shorts video that you won't want to miss. The fuel price and gas price hike have been a major concern for many, but Modi's roast of Trump and Khamenei is the perfect way to laugh away your worries. As the PM of India, Modi's take on the current affairs and daily news is both informative and entertaining. So, if you're looking for a dose of comedy news and satire, this video is for you. With its unique blend of political comedy and humor, it's no wonder that this video is trending and making waves in the world of political humor. So, sit back, relax, and enjoy the roast of Trump and Khamenei by Modi, and don't forget to stay updated with the latest news and current affairs from India and around the world.

#politicalsatire #modiroast donaldtrump alikhamenei lpgpricehike fuelpricehike gasprice politicalcomedy funnyshorts ytshorts viralshorts globalpolitics currentaffairs comedyskit satirevideo

Disclaimer 

This video is a work of AI-generated political satire. All voices, visuals, characters, and scenarios are entirely AI-generated and created only for entertainment purposes. There is no intention to hurt, defame, or disrespect any political leader, individual, community, or political party. All characters appearing in this content are fictional representations, and any resemblance to real persons is purely coincidental. This satire does not claim to represent real events, real statements, or political positions. Viewer discretion is advised.",Kedar’s Political Adda,polliticaladda,https://www.instagram.com/p/DVlt5YukfPA/,3,Don't Fuel My Car . Mp3,68,2026-03-07T16:08:57.000Z,,treanding,politicalhumor,viralshorts,politicalsatire,modiroast,,,,,,,,,,Instagram
LPG price pe hike toh sirf Imarti Irony hi Bol sakti hai!,Shamita yadav,the.ranting.gola,https://www.instagram.com/p/DVxiqxjiGdj/,6202,Tera gand to kisi jihadi ne maar di kya re randy,248522,2026-03-12T06:22:28.000Z,,,,,,,,,,,,,,,,Instagram
"Commercial LPG cylinder prices have been revised upwards steeply, effective Friday, adding to costs for businesses in the food and hospitality sectors, while domestic LPG prices remain unchanged for households. According to sources, the price of a 19 kg commercial LPG cylinder has been increased by Rs 993, taking the cost in Delhi to Rs 3,071.50 from today. The 5 kg FTL (Free Trade LPG) cylinder has also been hiked by Rs 261 per cylinder with immediate effect.

There has been no change in the price of the 14.2 kg domestic LPG cylinder, which continues to be used by around 33 crore households across the country. The revision applies only to commercial and bulk LPG categories, which together account for a small share of overall LPG consumption in India. Domestic LPG, which is subsidised and widely used for cooking, has been kept out of the latest price adjustment.

#LPGPriceHike #CommercialLPG #BusinessCosts #HospitalitySector #i̇ndianews",India Byte,india.byte,https://www.instagram.com/p/DXyPIajlOuP/,26,Congratulations ❤️.,-1,2026-05-01T05:51:00.000Z,,LPGPriceHike,CommercialLPG,BusinessCosts,HospitalitySector,i̇ndianews,,,,,,,,,,Instagram
"[#LinkInBio] ⛽📈 Flame hits the wallet 🔥 The 19‑kg commercial LPG cylinder now costs ₹3,071.50 in Delhi after a steep ₹993 hike, squeezing restaurants and small businesses 💭 How will this price surge impact everyday operations and consumer costs?👇
 
#LPG #Economy #India #OilAndGas #Prices #Business #Inflation",The Economic Times,economictimes,https://www.instagram.com/p/DXx9Zz0kQSc/,83,Rupya gir rha hai mehngai badh rhi hai ab PM ki sakh kam nhi ho rhi …but they are busy with winning elections with the help of EC cbi ed ..curbing freedom of press and peoples rights,1022,2026-05-01T03:16:15.000Z,,LinkInBio],LPG,Economy,India,OilAndGas,Prices,Business,Inflation,,,,,,,Instagram
"LPG Price Hike: चुनाव के बाद LPG कमर्शियल सिलेंडर ₹3000 के पार

एलपीजी कमर्शियल सिलेंडर की कीमतों में बड़ी बढ़ोतरी ने बाजार में हलचल बढ़ा दी है. इस फैसले का असर सीधे होटल, रेस्टोरेंट और फूड इंडस्ट्री पर पड़ेगा, जिससे खाने-पीने की चीजें महंगी हो सकती हैं. हालांकि घरेलू गैस के दाम स्थिर रखे गए हैं, लेकिन अंतरराष्ट्रीय हालात और सप्लाई दबाव के चलते आगे कीमतों में बदलाव की आशंका बनी हुई है.

#LPGHike #CommercialCylinder #Delhi #ATDigital",Aaj Tak,aajtak,https://www.instagram.com/p/DXyJdl2D1_Y/,139,Fir bhi rehadi wale gharelu Gas ka upyog karte Hain unke upar bhi kaarvayi honi chahie,9292,2026-05-01T05:01:58.000Z,,LPGHike,CommercialCylinder,Delhi,ATDigital,,,,,,,,,,,Instagram
"Oil marketing companies announce a significant ₹993 price increase for 19-kg commercial LPG cylinders, effective May 1, 2026. 

#LPGPriceHike #GasCrisis #BusinessNewsIndia #FuelPriceHike #CommercialLPG #IndiaEconomy 

[LPG price hike May 2026, commercial cylinder ₹993 increase, Delhi LPG rates, business gas prices India, domestic LPG unchanged]",India Today,indiatoday,https://www.instagram.com/p/DXx1b0DCAnC/,61,Thank you ❤️❤️❤️for your votes 😂😂😂,2241,2026-05-01T02:06:28.000Z,,LPGPriceHike,GasCrisis,BusinessNewsIndia,FuelPriceHike,CommercialLPG,IndiaEconomy,,,,,,,,,Instagram
"Absolute Masterstroke 👏
.
.
#lpgpricehike #lifestyle",The Satirical Society,satirical_society,https://www.instagram.com/p/DXyZYF1EaWi/,47,only Nehru & Congress are responsible for price hike - bhakthas,1269,2026-05-01T07:20:33.000Z,,lpgpricehike,lifestyle,,,,,,,,,,,,,Instagram
"تا پای جان برای ایران✌🏻🇮🇷
.
.
#ایران 
#iran #love #peace",شقایق نوئی,shaqayeqnoieir,https://www.instagram.com/p/DXDLZxPAnBB/,553,ماشالله دخترای ملت اسلامی 🔥🇮🇷❤️,9502,2026-04-12T23:15:11.000Z,,ایران,iran,love,peace,,,,,,,,,,,Instagram
"The lingering fuel crisis worsened yesterday as petrol price rose sharply at the pumps.

Motorists at various filling stations voiced anger and frustration over the matter when they discovered the product sold at N1,325 per litre at NNPC outlets.

The hike is in response to the increase in the gantry price of the commodity by the Dangote Refinery from N1,200 to N1,275 per litre, while coastal supply prices raced to N1,215 per litre.

The increase was swiftly reflected at the pumps as early as 7am.

The Dangote refinery, apparently responded to the volatility in the global oil market over the unresolved crisis in the Middle East. The development has further pushed oil prices from $105 per barrel on Monday to $124 as of 8am (WAT) on Thursday but cooled to $114 as of 3.35pm (WAT).

Some of the motorists who spoke to Daily Sun expressed disappointment at the hike, saying the federal government has failed to provide relief for its citizens in the wake of the US-Iran crisis.

Read more by tapping the link in our bio.

#thesunnigeria #nnpc",The Sun Nigeria,thesun.ng,https://www.instagram.com/p/DXyf7xzjGsQ/,0,,0,2026-05-01T08:17:52.000Z,,thesunnigeria,nnpc,,,,,,,,,,,,,Instagram
"Iran has issued a series of sharp warnings and sarcastic social media messages targeting the United States, cautioning that any naval blockade or escalation could trigger a domestic fuel crisis and spike global oil prices.

An official account linked to Iran’s embassy in Thailand posted a message on X mocking US fuel costs, suggesting Americans would soon “miss the price of $4 a gallon” if tensions continue to escalate.

For more information, visit the link in bio.",Roya News English,royanewsenglish,https://www.instagram.com/p/DXHUkegCENi/,10,😂🔥🔥🔥,1134,2026-04-14T13:51:13.000Z,,,,,,,,,,,,,,,,Instagram
"IRAN OUT OF THE WORLD CUP?

According to Marca, Iran is seriously considering withdrawing from the World Cup after today’s attacks.

All three of their group stage matches are scheduled to be played in the United States, And reportedly, their replacement would be the United Arab Emirates 🇦🇪

The tournament in question is the FIFA World Cup 2026.

Big decision coming… 👀🔥",NEXT MEX,nextmexoficial10,https://www.instagram.com/p/DVUHsNpFBH9/,1573,#noregimeteamfifa2026,39686,2026-02-28T20:06:36.000Z,,,,,,,,,,,,,,,,Instagram
"Were not al…
Were a voice 
Heard in the streets every night.✌🏻🇮🇷
.
ما هوش مصنوعی نیستیم
ما یک صدا هستیم
که هرشب توس خیابون شنیده میشه…
.
#ایران #iran #ia #war #جنگ",﮼خانم‌مشایخی‌‌,mrs_mashayekhi,https://www.instagram.com/p/DWl6hXljGUa/,80,❤️❤️❤️❤️,2363,2026-04-01T14:31:41.000Z,,ایران,iran,ia,war,جنگ,,,,,,,,,,Instagram
"​⛽ Stranded on April 29? Don't Let a Fuel Crisis Ruin Your Day!
​Attention travelers: It’s true. Yesterday was chaos. Major European airlines had massive cancellations due to a sudden technical fuel-supply problem. We know it’s frustrating, but don't panic! 😌
​If your flight was cancelled yesterday or today (April 30), you may be legally entitled to up to €600 in cash compensation per passenger!
​regulation EU 261 protects you. The airline’s problem is your payday!
​💡 We make it simple 
​👉 Click the LINK IN OUR BIO right now to start your simplified, verified claim and get your money back!
​#PrimePickHub #April29 #FlightCancelled #FuelCrisis #KnowYourRights EU261 GetPaid AirCompensation TravelAlert AirlineNews ClaimNow VerifiedOffer",Professional Marketer,professional_marketer0,https://www.instagram.com/p/DXu_1OijKKT/,19,Is it 600 Euros per person? My whole family is stuck here! Checking the link.,2017,2026-04-29T23:39:37.000Z,,PrimePickHub,Apr-29,FlightCancelled,FuelCrisis,KnowYourRights,,,,,,,,,,Instagram
"Iran 🇮🇷🤍

#ایران #iran #ایرانی",فاطیما رستمی | آموزش عکاسی و تولید محتوا,fatimagraphy_,https://www.instagram.com/p/DV1XMkLCFsu/,1780,به ما هم سیم سفید بده آبجی 💀,37608,2026-03-13T17:56:51.000Z,,ایران,iran,ایرانی,,,,,,,,,,,,Instagram
"🚨 Major airline executives are now sounding the alarm: a growing fuel crisis could push American Airlines—and others—to the brink within weeks as we head into the busiest travel season of the year. 

Behind the scenes, global tensions and disrupted oil supplies have already sent jet fuel prices soaring—nearly doubling in recent weeks.

This isn’t just about higher ticket prices. Flights are being cut. Routes are being trimmed. Entire schedules are being reshaped as the industry struggles to keep up with a supply chain under pressure. 

More below ⬇️ 
https://endtimeheadlines.org/2026/04/american-airlines-could-run-out-of-fuel-within-weeks-as-travel-chaos-spirals-before-summer/

#TravelChaos #FuelCrisis #EconomicWarning #BreakingNews",End Time Headlines,endtimeheadline,https://www.instagram.com/p/DWoWycxjhZc/,53,Cia propaganda to make people not travel,501,2026-04-02T13:14:07.000Z,,TravelChaos,FuelCrisis,EconomicWarning,BreakingNews,,,,,,,,,,,Instagram
"Heavy Rush at Petrol Pumps In Surat Amid fuel Storage Rumours 😱⛽️
Follow @kemchhosurat for more!
.
.
.
{ petrol shortage rumours, fuel panic, long queues at petrol pumps, vehicles lined up, public panic, fuel crisis news, avoid rumors, fake news alert, petrol pump rush, city traffic, breaking news, India fuel update, awareness post, viral news, kemchhosurat, Surat no1 digital channel, Surat biggest social media channel KemChhosurat }",Kem Cho Surat,kemchhosurat,https://www.instagram.com/p/DWOwk4xjCZJ/,4069,"आज भारत देश के सभी नागरिक व महिलाएं समस्याएं तकलीफे परेशानीया दुःख देखती है 
वो हम समाप्त कर देंगे
 
भारत देश के सभी नागरिको व महिलाओं हमारे से जुड़े व 
हमारा साथ दे स्पोट करे सहियोग करे जी
🙏🙏🙏💐🙏🙏🙏
भारत देश के सभी छोटे बडे किसानों 
छोटे बड़े उधियोगपति छोटे बड़े व्यापारियों 
नोकरी करने वाले नागरिकों व मजदूरी करने वाले नागरिको व 
सभी महिलाओं माताओ बहनो बच्चियों 
हम सभी सरकारी कर्मचारी बन जायेंगे व
सरकार मंत्री नेता व बडे सरकारी कर्मचारी को सुविधाए VIP की तरह देती है 
वैसे हमे सरकार VIP सुविधाए प्रदान करेंगी 
जल्द से जल्द हमारी सभी समस्याएं परेशानिया दुःख तकलीफे समाप्त करना है तो 
हमारे विसार भारत देश के सभी किसानों नागरिको युवा नोजवानो बच्चों व 
महिलाओं माताओ बहनों बच्चियों तक पहुचाये जी व 
हमे फोन पर सम्पर्क करें व 
हम सभी भारत देश मे नागरिक व महिलाएं एकजुट हो जाये 
इस प्रोजेक्ट मिशन प्रति राज्य में जल्द से जल्द में एक गाँव बनाने या निर्माण करने के विषय बात चित करे जी 
हमे फेसबुक व इटागर्म फॉलो करें व 
हमारी सभी फेसबुक पोस्टे व इटागर्म पोस्टे सेर करे जी 
फेसबुक ID आड़ी इस प्रकार है जी 
( 1 ) कृष्णा मानवता सेवा संस्थान 
( 2 ) गाँव बनाओ शहर बनाओ 
अमीरी गरीबी मुक्त भारत देश बनाओ
इटाग्राम ID आड़ी इस प्रकार है जी 
( 1 )
 Krishna_manavta_seva_sansthan
( 2 )
 manav_samsya_mut_bharth_desh
कृष्णा मानवता सेवा संस्थान 
के मानवता सेवा संस्थान 
अहमदाबाद गुजरात",511847,2026-03-23T14:39:56.000Z,,,,,,,,,,,,,,,,Instagram
"Tensions rising in Iran — from Feb 28 to Mar 28, 2026.
Shifting ground, growing presence, and a region on edge.

#Iran #NationalSecurity #USIsrael #MiddleEast #MilitaryAttack",Observer Diplomat,observerdiplomatmag,https://www.instagram.com/p/DW0VBvxjBG4/,63,Absolute bollocks!,1410,2026-04-07T04:49:37.000Z,,Iran,NationalSecurity,USIsrael,MiddleEast,MilitaryAttack,,,,,,,,,,Instagram
"Iran 🇮🇷 is showing the world how important it is to have a spine ✨

هيهات منا الذلة 🇮🇷 🇮🇶 🇱🇧 

#iran #shia #usa #middleeast #truth",Zinat 🇮🇷🇮🇶,khadimat__ahlulbayt,https://www.instagram.com/p/DV81FqxiDtZ/,156,IDF will get you. Matter of time.,12318,2026-03-16T15:33:11.000Z,,iran,shia,usa,middleeast,truth,,,,,,,,,,Instagram
"CALL OUT: Do you have any footage of fuel being stolen from a petrol station?

There's been a 37% spike in fuel thefts in South Australia, as the fuel crisis continues to bite. #9News",9News Adelaide,9newsadelaide,https://www.instagram.com/p/DWk1h1-jtKU/,277,"Even if I did why the fuck would I say anything, more power to them I hope the people keep doing it",2322,2026-04-01T04:25:53.000Z,,9News,,,,,,,,,,,,,,Instagram
"⁨	وطن فروشای ،وطن پرست نما نمیزاریم دستتون به یه وجب از خاک ایران برسه…
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#ایران #وطن #iran⁩",Fateme ehsani | Media Creator,fateme_ehsaniiiii,https://www.instagram.com/p/DWZH1LGCFpU/,2343,"در مملکت چون غرش شیران گذشت و رفت این عو عو سگان شما نیز بگذرد
آن کس که فخر کرد عیارش فرونشست در اوج بود",34733,2026-03-27T15:22:06.000Z,,ایران,وطن,iran⁩,,,,,,,,,,,,Instagram
"Iran’s Supreme leader said Iran will protect its nuclear and missile programs and accuse the US of trying to control the region. 

“The bright future of the Personal region will be a future without America. Foreigners who come from thousands of kilometers away, acting maliciously out of greed, have no place there except at the bottom of its waters,” Khamenei said. 

This tone is a complete opposite of what Trump has been saying regarding the progress of the conflict. Iran sounds ready to defy the U.S. and willing to continue the fighting.",RogueDNC,roguednc,https://www.instagram.com/p/DXxYr7hDpJW/,135,"In the past, South Koreans did not pay for the crude oil they purchased from Iran (and it was a huge amount). When dealing with dishonest South Koreans, you must always receive payment in advance. The best thing is not to sell crude oil to South Korea at all.",1369,2026-04-30T22:01:40.000Z,,,,,,,,,,,,,,,,Instagram
"Do you think it's a coincidence or weather warfare is real?

Images of Lake Rania in Iraq before the rain (2025) and after the rain (2026).

#iranwar #iraq #iran #iranisraelwar #baghdad",Pakistan Republic,pakistanrepublicc,https://www.instagram.com/p/DXmsZmviLzL/,879,Iran are world heroes,45146,2026-04-26T18:15:56.000Z,,iranwar,iraq,iran,iranisraelwar,baghdad,,,,,,,,,,Instagram
Embassy of Iran messing with Trump on social media asking for there deadline of 8PM Eastern Time on Tuesday to be shortened.,British Unity,britishunityuk,https://www.instagram.com/p/DWyj18DjIDq/,14,"Dear Islamic Republic #Iran, strong and proud, may you endure forever",324,2026-04-06T12:20:37.000Z,,,,,,,,,,,,,,,,Instagram
"Iran’s Power in Action 🇮🇷
.
.
.
#i̇ran #islam #instagram #trending #kolkata",𝓲𝓽𝓼𝓷𝓪𝓲𝓷𝓪,its_nainazaidi,https://www.instagram.com/p/DVbWwGHkSNP/,333,Mashallah,47422,2026-03-03T15:34:28.000Z,,i̇ran,islam,instagram,trending,kolkata,,,,,,,,,,Instagram
"A história das civilizações antigas está profundamente ligada à formação dos países modernos. Muitos territórios atuais nasceram em regiões que, milhares de anos atrás, foram centros de grandes culturas responsáveis por avanços políticos, científicos, urbanos e culturais que influenciam o mundo até hoje. 

A antiga Mesopotâmia, situada entre os rios Tigre e Eufrates, é considerada o berço da civilização e corresponde em grande parte ao atual Iraque. Da mesma forma, a Civilização do Vale do Indo floresceu no sul da Ásia e deixou heranças culturais presentes principalmente no território do atual Paquistão.

Na Europa, o poderoso Império Romano moldou instituições, leis, idiomas e cidades que deram origem a vários países modernos, entre eles a Itália, onde estava localizada sua capital, Roma. Já a antiga Pérsia, conhecida por seus vastos impérios e organização administrativa avançada, corresponde majoritariamente ao atual Irã.

#iran #ira #eua",Saberes da Ciência,saberesdaciencia,https://www.instagram.com/p/DVY15B2E7H2/,212,"Sim, definitivamente sim. Se alguma coisa era muito melhor ser conquistado pelo Império Aquemênida ou Sassânida do que, por exemplo, pelos romanos. O império persa foi um dos impérios MENOS brutais da antiguidade.",41233,2026-03-02T16:06:40.000Z,,iran,ira,eua,,,,,,,,,,,,Instagram
#iran #fyp #usa #viral,Brian Dami,bridambpc1,https://www.instagram.com/p/DWKY971D91_/,3043,"We, the children of Cyrus and the followers of Imam Hussein, with unyielding resistance, will not rest until the total annihilation of the heirs of Epstein and the Israeli Zionists. Our will is iron, and history shall witness our wrath.",68408,2026-03-21T21:56:25.000Z,,iran,fyp,usa,viral,,,,,,,,,,,Instagram
