comment,ownerFullName,ownerUsername,url,commentsCount,firstComment,likesCount,time,queryTag,hashtags/0,hashtags/1,hashtags/2,hashtags/3,hashtags/4,hashtags/5,hashtags/6,hashtags/7,hashtags/8,hashtags/9,hashtags/10,hashtags/11,hashtags/12,hashtags/13,hashtags/14,hashtags/15,hashtags/16,hashtags/17,hashtags/18,hashtags/19,hashtags/20,hashtags/21,hashtags/22,,type
"Pakistan’s Diplomatic Win!
Iranian Crew Freed from US Custody 🇵🇰🤝

Pakistan has successfully played a key diplomatic role, ensuring the safe return of Iranian crew members previously held under a US-related maritime action. 🌍

According to the Foreign Office, the seized Iranian container vessel MV Tosca and its 22-member crew were transferred via Pakistan as part of a broader confidence-building step between the concerned parties.

The individuals, brought to Pakistan overnight, are set to be handed over to Iranian authorities today.

The vessel will also be returned to its original owners after necessary repairs, using Pakistan’s maritime coordination channels. ⚓

Officials say the move reflects cooperation and de-escalation efforts supported by both Iranian and American sides. 🤝
:
:
#Pakistan #Diplomacy #Iran #USA #MVTosca #BreakingNews #WorldNews #Maritime #PeaceEfforts #ForeignPolicy #InShortNews",InShort News,inshort.pk,https://www.instagram.com/p/DX6VN90gp0_/,0,,0,2026-05-04T09:18:09.000Z,,Pakistan,Diplomacy,Iran,USA,MVTosca,BreakingNews,WorldNews,Maritime,PeaceEfforts,ForeignPolicy,InShortNews,,,,,,,,,,,,,,Instagram
"হরমুজ প্রণালীতে মার্কিন বাহিনীর প্রবেশের চেষ্টাকে সরাসরি হামলার হুমকি দিয়েছে ইরান। প্রজেক্ট ফ্রিডম ঘিরে পারস্য উপসাগরে বড় ধরনের সামরিক সংঘাতের আশঙ্কা বাড়ছে।
#USIranWar #StraitOfHormuz #MiddleEastCrisis #iran #unitedstates",Business Times,bdbusinesstimes,https://www.instagram.com/p/DX6VH-PEgVq/,0,,0,2026-05-04T09:17:19.000Z,,USIranWar,StraitOfHormuz,MiddleEastCrisis,iran,unitedstates,,,,,,,,,,,,,,,,,,,,Instagram
"Presiden AS, Donald Trump, mengumumkan peluncuran operasi baru bernama “Project Freedom” untuk membantu kapal-kapal yang terjebak di Selat Hormuz keluar dengan aman.

Langkah ini disebut sebagai upaya kemanusiaan di tengah meningkatnya ketegangan antara AS dan Iran.

Trump mengatakan bahwa banyak negara meminta bantuan AS untuk membebaskan kapal mereka yang tertahan di jalur strategis tersebut.

“Kami akan melakukan upaya terbaik untuk membawa kapal dan awaknya keluar dari selat dengan aman,” ujar Trump dikutip dari The Business Standard.

Kunjungi Website kami di GPriority.co.id

📝 Nindya Farhah Azzahrah 
📷 AFP

#presidenttrump #projectfreedom #selathormuz #iran #gpriority",Majalah GPriority,gpriority,https://www.instagram.com/p/DX6VHpPGaiH/,0,,0,2026-05-04T09:17:15.000Z,,presidenttrump,projectfreedom,selathormuz,iran,gpriority,,,,,,,,,,,,,,,,,,,,Instagram
Time… #gaza #iran #lebanon #syria #genocide,Theresa Maloney,nota.regularmomimacoolmom,https://www.instagram.com/p/DX6VEjaAnuJ/,0,,0,2026-05-04T09:17:15.000Z,,gaza,iran,lebanon,syria,genocide,,,,,,,,,,,,,,,,,,,,Instagram
"Bakom rubrikerna om kriget om Iran döljer sig större mönster. Realistiska och världssystemteoretiska perspektiv visar hur globala maktspel formar vardagen för människor i periferin – där krisens pris betalas.

LÄS MER PÅ MAGASINETKONKRET.SE

#iran

Det är DU som betalar vår journalistik, inte staten eller kapitalet!
Swish: 1236336879
Sveriges enda magasin med fokus på mediekritik, källkritik och politisk satir",MagasinetKonkret,magasinetkonkret,https://www.instagram.com/p/DX6VHY7glEj/,0,,0,2026-05-04T09:17:13.000Z,,iran,,,,,,,,,,,,,,,,,,,,,,,,Instagram
Russia officials reportedly said: Iran’s enemy is our enemy’ during interrogation 🇷🇺☫🇮🇷🥰 #irantoday #iran #iranvsusa #iranvsisrael,احسن علی,iam.hussainii,https://www.instagram.com/p/DX6VD30jaAX/,0,,1,2026-05-04T09:16:46.000Z,,irantoday,iran,iranvsusa,iranvsisrael,,,,,,,,,,,,,,,,,,,,,Instagram
"The increase in prices affects everyone, including:

1. Public transportation drivers, such as our jeepney, tricycle drivers, etc.

2. All who use transportation, may it be public or private, such as commuters, students, parents, etc.

But it is important to acknowledge that the price hikes are not just a problem for those who use vehicles, but it is a burden to every household. This is seen in families who need to extend their already tight budget just to keep up with the increase in costs. 

It may seem like there’s nothing we can do, but what if we told you that you can help, even in your own little way? 
Scan the QR code and sign the petition to help stop the price hikes. Take action now! 

Like, comment, share, and follow to ensure we stay informed, as well as our friends and families! Mag-ingat palagi.

#FuelTheTruth #Inflation #OilPriceHike #Iran #MiddleEast #Philippines",Fuel the Truth in the Ph 🇵🇭,fuelthetruth_ph,https://www.instagram.com/p/DX6VCWsmZRC/,0,,-1,2026-05-04T09:16:32.000Z,,FuelTheTruth,Inflation,OilPriceHike,Iran,MiddleEast,Philippines,,,,,,,,,,,,,,,,,,,Instagram
"Trump: 

Özgürlük Operasyonu 100’den fazla uçak ve 15 bin askerle operasyon yapılacak.

İran: 

Herhangi bir güç, özellikle ABD ordusu, Hürmüz’e yaklaşırsa saldırıya uğrayacak.
#trump #abd #usa #iran #hürmüzboğazı",Mehmet Şirin KARPUZ | Karpuz Media,karpuzmedia,https://www.instagram.com/p/DX6U2_WjXsZ/,0,,0,2026-05-04T09:15:41.000Z,,trump,abd,usa,iran,hürmüzboğazı,,,,,,,,,,,,,,,,,,,,Instagram
"Domenica 3 maggio, sul social Truth, il presidente degli Stati Uniti Donald Trump ha annunciato l’avvio di “Project Freedom”: dalla mattina di lunedì 4 maggio, gli USA inizieranno a “scortare” le navi attraverso lo Stretto di Hormuz. 

Trump ha avvertito che eventuali tentativi dell’Iran di ostacolare l’operazione “dovranno essere contrastati con fermezza”.

Sebbene Trump affermi che si tratti di un ""gesto umanitario"", il Comando Centrale degli Stati Uniti (Centcom) ha precisato che il supporto militare includerà cacciatorpediniere lanciamissili, oltre 100 velivoli terrestri e navali, droni multidominio e circa 15.000 militari. 

I funzionari hanno inoltre affermato che la marina statunitense fornirà alle navi mercantili informazioni sulle migliori rotte marittime nello stretto, in particolare per quanto riguarda l'utilizzo di rotte non minate dall'esercito iraniano.

Ebrahim Azizi, presidente della commissione parlamentare per la sicurezza nazionale dell’Iran ha avvertito che Teheran considererà qualsiasi ""ingerenza statunitense"" nello Stretto di Hormuz come una violazione del cessate il fuoco in vigore.

""Avvertiamo che qualsiasi forza armata straniera, in particolare l’aggressivo esercito statunitense, qualora intendesse avvicinarsi o entrare nello Stretto di Hormuz, sarà presa di mira e attaccata"", ha dichiarato il generale Ali Abdollahi del comando centrale delle forze armate iraniane, in una nota diffusa dall'emittente statale Irib.

Il giornalista Jeremy Scahill riporta le dichiarazioni di un alto funzionario iraniano, secondo cui l’obiettivo di Trump è provocare una reazione di Teheran per giustificare un’escalation militare.

La posizione iraniana resta netta: ogni nave mercantile che attraversi le rotte designate “senza previa coordinazione verrà prontamente intercettata dalle forze iraniane”, e qualsiasi risposta militare statunitense riceverà una reazione “immediata e proporzionata”, afferma il funzionario citato da Scahill.

#iran #usa #hormuz #trump",Fernanda Sorrento,fernandasorrento,https://www.instagram.com/p/DX6U1CWFuwo/,0,,0,2026-05-04T09:14:43.000Z,,iran,usa,hormuz,trump,,,,,,,,,,,,,,,,,,,,,Instagram
"Iran’s Big Peace Move Shakes Battlefield

#iran #trump #battlefield",Fazal Speaks,fazalspeaks,https://www.instagram.com/p/DX6UyxTjIZv/,0,,0,2026-05-04T09:14:24.000Z,,iran,trump,battlefield,,,,,,,,,,,,,,,,,,,,,,Instagram
"Srcmoda bluz
38/40/42/44/46
Satışlarımız toptandır/olur sales are wholesale
New seasons🔥🔥
Telegram/srcmoda
Whatsapp+0546 632 44 02
#bluz #bayanbluzleri #newcollection 
#kongo #iran ırak nijerya gürcistan rusya ukranya 
kazakistan azerbaycan senegal istagramreels",SRCMODA,src.moda,https://www.instagram.com/p/DX6UxI0CGBF/,0,,1,2026-05-04T09:14:11.000Z,,bluz,bayanbluzleri,newcollection,kongo,iran,,,,,,,,,,,,,,,,,,,,Instagram
"Cargo ship attacked near Strait of Hormuz as UK maritime agency raises alert

Source: THE EXPRESS TRIBUNE 

Read more: Link in Bio or Download our app oigetit.com. 

This article was fact checked by oigetit.com. 

#Oigetit #BreakingNews #MaritimeSecurity #Iran #StraitOfHormuz GlobalShipping",Oigetit - Real-Time AI Intelligence Platform,oigetit_uk,https://www.instagram.com/p/DX6UuPTjKnI/,0,,0,2026-05-04T09:13:59.000Z,,Oigetit,BreakingNews,MaritimeSecurity,Iran,StraitOfHormuz,,,,,,,,,,,,,,,,,,,,Instagram
My younger settter in my academy. #GoldenGlobes #DigitalBlackoutIran #worldvolleyball #bbvipks4 #Iran #StarAcademy #VNL #VNL #USA #ELWAKE #kalebi,Central Volleyball Academy GH,centralvolleyballa,https://www.instagram.com/p/DX6UlE2jrz2/,0,,2,2026-05-04T09:12:32.000Z,,GoldenGlobes,DigitalBlackoutIran,worldvolleyball,bbvipks4,Iran,StarAcademy,VNL,USA,ELWAKE,kalebi,,,,,,,,,,,,,,,Instagram
"Cool pattern will hold across much of the #MiddleEast through midweek, but remaining warm in the southern #ArabianPeninsula and central and eastern #Iran. Warmer in the cool area late this week.",Jason Nicholls,jnmet1970,https://www.instagram.com/p/DX6UkYlFlaH/,0,,0,2026-05-04T09:12:26.000Z,,MiddleEast,ArabianPeninsula,Iran.,,,,,,,,,,,,,,,,,,,,,,Instagram
"Srcmoda bluz
38/40/42/44/46
Satışlarımız toptandır/olur sales are wholesale
New seasons🔥🔥
Telegram/srcmoda
Whatsapp+0546 632 44 02
#bluz #bayanbluzleri #newcollection 
#kongo #iran ırak nijerya gürcistan rusya ukranya 
kazakistan azerbaycan senegal istagramreels",SRCMODA,src.moda,https://www.instagram.com/p/DX6UjcIiBMN/,0,,1,2026-05-04T09:12:23.000Z,,bluz,bayanbluzleri,newcollection,kongo,iran,,,,,,,,,,,,,,,,,,,,Instagram
"Tension is rising again in one of the world’s most important oil routes 🌍⚠️
Iran says it will attack US forces if they enter the Strait of Hormuz, after Trump announced a new escort mission for stranded ships.

With talks stalled and oil prices rising, the world is watching closely.

#StraitOfHormuz #Iran #USA #GlobalTensions #OilCrisis #TMNNews 
https://thoughtmedianetwork.com/us-escort-plan-triggers-strong-military-response-from-iran/",Thought Media Network,thoughtmedia.network,https://www.instagram.com/p/DX6UixNIG3P/,0,,0,2026-05-04T09:12:17.000Z,,StraitOfHormuz,Iran,USA,GlobalTensions,OilCrisis,TMNNews,,,,,,,,,,,,,,,,,,,Instagram
"Ketegangan belum benar-benar reda meski gencatan senjata berlaku antara Amerika Serikat dan Iran. 

Di balik layar, Donald Trump mempertimbangkan dua langkah besar: memperpanjang blokade atau melancarkan serangan baru. Sementara itu, Selat Hormuz sebagai jalur vital energi dunia kini hampir lumpuh, dengan lalu lintas kapal turun hingga 95%. 

Iran masih bisa bertahan dalam jangka pendek, tapi tekanan ekonomi, turunnya produksi minyak, dan lonjakan inflasi jadi ancaman serius bukan hanya bagi Iran, tapi juga stabilitas global. 🌍🔥

#Iran #AmerikaSerikat #SelatHormuz #Geopolitik #BeritaDunia",Mab Sky Satrio,mabskysatrio32,https://www.instagram.com/p/DX6UixIiSdn/,0,,1,2026-05-04T09:12:15.000Z,,Iran,AmerikaSerikat,SelatHormuz,Geopolitik,BeritaDunia,,,,,,,,,,,,,,,,,,,,Instagram
"پاکستان اور ایران کے وزرائے خارجہ کے درمیان اہم ٹیلیفونک رابطہ ہوا ہے جس میں خطے کی صورتحال، بڑھتی کشیدگی اور امن و استحکام کے فروغ پر تفصیلی تبادلہ خیال کیا گیا۔

نائب وزیراعظم و وزیر خارجہ اسحاق ڈار نے اپنے ایرانی ہم منصب عباس عراقچی سے ٹیلیفون پر گفتگو کی، جس میں خطے کی مجموعی صورتحال اور کشیدگی میں کمی کیلئے پاکستان کی سفارتی کوششوں پر بات چیت ہوئی۔

ترجمان دفتر خارجہ طاہر حسین اندرابی کے مطابق اسحاق ڈار نے ایرانی ہم منصب کو فریقین کے درمیان مکالمے کے فروغ اور امن کیلئے جاری سفارتی اقدامات سے آگاہ کیا۔

ایرانی وزیر خارجہ نے پاکستان کے کردار کو سراہتے ہوئے اس کی مخلصانہ ثالثی کی کوششوں کو مثبت قرار دیا۔

گفتگو میں اسحاق ڈار نے اس عزم کا اظہار کیا کہ پاکستان خطے میں دیرپا امن، استحکام اور باہمی احترام پر مبنی تعلقات کیلئے اپنی کوششیں جاری رکھے گا، جبکہ دونوں ممالک نے علاقائی امن کیلئے مشترکہ اقدامات جاری رکھنے اور سفارتی روابط مزید مضبوط بنانے پر اتفاق کیا۔

یاد رہے کہ پاکستان میں تعینات ایرانی سفیر رضا امیری مقدم نے بھی حالیہ بیان میں کہا تھا کہ ایران اور امریکا کے درمیان مذاکرات میں پاکستان کی ثالثی کی کوششوں کو سراہا جاتا ہے اور اس کردار میں کسی تبدیلی کا فیصلہ نہیں ہوا۔

#Pakistan #Iran #IshaqDar #AbbasAraghchi #Diplomacy #PeaceTalks #ForeignPolicy #MiddleEast #InternationalRelations #WorldNews #BreakingNews #karachinamaa",Karachi Namaa,karachinamaa.pk,https://www.instagram.com/p/DX6UhZolazB/,0,,0,2026-05-04T09:12:02.000Z,,Pakistan,Iran,IshaqDar,AbbasAraghchi,Diplomacy,PeaceTalks,ForeignPolicy,MiddleEast,InternationalRelations,WorldNews,BreakingNews,karachinamaa,,,,,,,,,,,,,Instagram
"যেসব জাহাজ হরমুজ প্রণালিতে আটকে আছে তাদের নিরাপদে সরাতে যুক্তরাষ্ট্র সর্বোচ্চ চেষ্টা করবে বলে জানিয়েছেন মার্কিন প্রেসিডেন্ট ডোনাল্ড ট্রাম্প
#StraitOfHormuz #DonaldTrump #iran #chaarchanews",chaarcha,chaarchabd,https://www.instagram.com/p/DX6UgOSFECm/,1,,0,2026-05-04T09:11:53.000Z,,StraitOfHormuz,DonaldTrump,iran,chaarchanews,,,,,,,,,,,,,,,,,,,,,Instagram
"Dunia benar-benar di ujung tanduk! Ketegangan antara Iran dan Donald Trump kini makin panas dan terasa nyata. Semua bermula dari rencana operasi militer AS di Selat Hormuz, jalur vital yang selama ini jadi urat nadi distribusi energi dunia.

Dilansir dari CNBC Indonesia, Iran tak lagi berbicara halus. Ancaman disampaikan secara terang-terangan: jika AS tetap memaksa masuk, Hormuz akan berubah jadi “kuburan kapal”. Situasinya bukan sekadar perang kata-kata. Ratusan kapal sudah tertahan, pasokan minyak terganggu, dan harga energi mulai melonjak tajam.

Di sisi lain, Trump menyebut langkah ini sebagai misi kemanusiaan. Tapi di balik itu, kekuatan militer besar sudah disiapkan, dari kapal perang hingga ribuan pasukan. Ini yang bikin banyak pihak khawatir, karena kondisi seperti ini sering jadi awal konflik besar.

Iran bahkan memberi batas waktu satu bulan. Setelah itu, semuanya bisa berubah drastis. Dunia sekarang hanya bisa menunggu, berharap ini berakhir damai, bukan jadi awal bencana global.

Apakah ancaman Iran benar-benar akan berubah jadi serangan nyata ke kapal perang AS?

‼️Disclaimer : Postingan ini hanya bertujuan untuk edukasi, Bukan ajakan membeli atau menjual aset
_______

#iran #selathormuz #trump #unitedstates #BitorexPost",Bitorex Post,bitorexpost,https://www.instagram.com/p/DX6UeWlkedq/,0,,45,2026-05-04T09:11:37.000Z,,iran,selathormuz,trump,unitedstates,BitorexPost,,,,,,,,,,,,,,,,,,,,Instagram
"📅 Lunedì 4 maggio 2026 🕣ore 20.45
📍 Cantieri Teatrali Koreja, Lecce

✨ MOHÁBBAT arriva a @teatrokoreja: una coreografia intensa che racconta l’Iran invisibile, tra corpo, memoria e desiderio di libertà.

#Danza #Mohabbat #Koreja #Iran #Cultura #ScenaContemporanea #Culturmedia #Legacoop",CulTurMedia Legacoop,culturmedia_nazionale,https://www.instagram.com/p/DX6UTVFiqTt/,0,,0,2026-05-04T09:10:09.000Z,,Danza,Mohabbat,Koreja,Iran,Cultura,ScenaContemporanea,Culturmedia,Legacoop,,,,,,,,,,,,,,,,,Instagram
"🌏 ¡ASIA Y MEDIO ORIENTE EN EL EPICENTRO DE LA GEOPOLÍTICA MUNDIAL! 
Vamos a entender los 3 frentes que están redefiniendo el poder global este fin de semana.

1️⃣El mundo contiene el aliento. 
El Estrecho de Ormuz 🚢, la arteria energética del planeta, sufre un estrangulamiento que deja a 20,000 marineros y miles de buques atrapados, la tensión diplomática entre Irán y EE. UU. es máxima.

2️⃣El conflicto regional no da tregua: el intercambio de fuego entre Hezbolá e Israel se intensifica, mientras las calles de Tel Aviv y Jerusalén se llenan de ciudadanos exigiendo la renuncia de Netanyahu y un giro hacia la paz.

3️⃣ El movimiento que está sacudiendo las estructuras de poder global viene desde Beijing: China quien ha confirmado su respaldo oficial a Michelle Bachelet para liderar la Secretaría General de la ONU. Un apoyo histórico que viene con una advertencia directa a Washington: el nuevo liderazgo debe ser ""independiente"".

Un fin de semana que cambia las reglas del juego.

#Geopolítica #MedioOriente #Irán #EstrechoDeOrmuz #Israel #Netanyahu #Líbano #Hezbolá #ONU #MichelleBachelet #Chile #China #XiJinping #NoticiasInternacionales #AnálisisMundial #SITPCOM #NoticiasMundiales #sitpcombarlovento #jesusdomingueza545 #noticiasvenezuela #rnv #sitpcom #periodistasycomunicadores @cnpmiranda @sitpcom",Pura Suárez,platglobalven,https://www.instagram.com/p/DX6VwBhlnEy/,0,,0,2026-05-04T09:22:46.000Z,,Geopolítica,MedioOriente,Irán,EstrechoDeOrmuz,Israel,Netanyahu,Líbano,Hezbolá,ONU,MichelleBachelet,Chile,China,XiJinping,NoticiasInternacionales,AnálisisMundial,SITPCOM,NoticiasMundiales,sitpcombarlovento,jesusdomingueza545,noticiasvenezuela,rnv,sitpcom,periodistasycomunicadores,,Instagram
#Israel #Rusia #sumud #flotilla #Secuestro,Borja Rodrigo Alcázar,borjarodrigoalcazar,https://www.instagram.com/p/DX6VTssDKU6/,0,,0,2026-05-04T09:18:56.000Z,,Israel,Rusia,sumud,flotilla,Secuestro,,,,,,,,,,,,,,,,,,,,Instagram
"— Ripoti kutoka Channel 12 ya Israel zinaeleza kuwa Somaliland ipo tayari kuingia katika ushirikiano wa kiusalama na Israel ili kukabiliana na vitisho katika lango la kimkakati la Bab al-Mandab. 

Hatua hii inakuja huku kukiwa na uwezekano wa kuanzishwa kwa “muungano wa kiamani” kati ya mataifa hayo mawili, ikizingatiwa kuwa Israel ndiyo nchi pekee mwanachama wa UN iliyoitambua rasmi uhuru wa Somaliland mnamo Desemba 2025. 🌍🛡️

Usipitwe na habari na video mpya kila siku — Follow page yetu sasa @nasseraltaie.media 📢✨

#Somaliland #Israel #Yemen #Ansarallah #BabAlMandab",Nasser Altaie Media,nasseraltaie.media,https://www.instagram.com/p/DX6VAohjNi5/,0,,1,2026-05-04T09:16:29.000Z,,Somaliland,Israel,Yemen,Ansarallah,BabAlMandab,,,,,,,,,,,,,,,,,,,,Instagram
